Name,Jersey,Team,Position,Birthdate,Height,Weight,Salary
Stephen Curry,#30,Golden State Warriors,G,03/14/88,6-3 / 1.91,185 lbs. / 83.9 kg.,"$45,780,966"
James Harden,#13,Brooklyn Nets,G,08/26/89,6-5 / 1.96,220 lbs. / 99.8 kg.,"$44,310,840"
